menu_section,product_type,dish_name,cost_rub,weight_g,description,image_url
Популярное,Еда,Домашний салат из овощей со сметаной и яйцом,890,340 г.,"Салат со свежими огурцами, узбекскими томатами, редисом, отварным яйцом и фермерской сметаной",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000056.jpg?itok=wD3NTajL,/catalog/product/27244
Популярное,Еда,Фокачча с Бурратой и томатами,1370,470 г.,"Фокачча из дровяной печи с узбекскими помидорами, красным луком, свежим базиликом, оливковым маслом и сливочной Бурратой",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011118.jpg?itok=RNsLMG0L,/catalog/product/27252
Популярное,Еда,Пепперони,1290,550 г.,"Пицца из дровяной печи со слайсами пикантной Пеперони, томатным соусом и домашней Моцареллой",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000044.jpg?itok=b0ybpZge,/catalog/product/27254
Популярное,Еда,Борщ,830,510 г.,"Классический борщ на говяжьем бульоне с бородинским хлебом, салом, зеленым луком и сметаной",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011145.jpg?itok=llzhn4Uk,/catalog/product/27260
Салаты и закуски,Еда,Форшмак с перепелиным яйцом,650,240 г.,"Форшмак из нежного филе сельди с Рикоттой, сливками, чесночными гренками, маринованным красным луком, огурцами и перепелиным яйцом",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3200000321.jpg?itok=a1KypkIV,/catalog/product/31076
Салаты и закуски,Еда,Салат из помидоров и огурцов с брынзой (Греческий),970,360 г.,"Салат из свежих огурцов, помидоров, болгарского перца, красного лука, оливок, орегано, домашней брынзы Чанах и оливкового масла",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3200000322.jpg?itok=x1D0Do5v,/catalog/product/31075
Салаты и закуски,Еда,Винегрет с килькой пряного посола,590,320 г.,"Классический винегрет из отварной свеклы, картофеля, моркови, соленых огурцов и горошка с зеленым луком и килькой пряного посола",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3200000074.jpg?itok=ylj6MqUB,/catalog/product/25193
Салаты и закуски,Еда,Салат с цыпленком и Пармезаном,1090,290 г.,"Хрустящий цыпленок со свежими листьями салата, запеченным болгарским перцем, гренками, сыром Пармезан и чипсами из бекона",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400004570.jpg?itok=uG3b0N4D,/catalog/product/27249
Салаты и закуски,Еда,Икра щучья с хрустящими тостами,1590,215 г.,Щучья икра со сладким крымским луком в сметанно-майонезном соусе и хрустящими тостами,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000067N.jpg?itok=RlXNrDzU,/catalog/product/24192
Салаты и закуски,Еда,Халлуми на гриле с вялеными томатами и мятой,1050,220 г.,"Салат из обжаренного на гриле сыра Халлуми с вялеными помидорами, оливковым маслом и листьями свежей мяты",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000070.jpg?itok=EEScXdcs,/catalog/product/27250
Салаты и закуски,Еда,Томаты с авокадо и муссом из шпината,1250,310 г.,"Розовые томаты, шпинат, авокадо, Страчателла, рукола",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011100.jpg?itok=K69ffKWp,/catalog/product/28210
Салаты и закуски,Еда,"Салат со Страчателлой, руколой и помидорами",1250,360 г.,"Салат с домашней Страчателлой, листьями пряной руколы, помидорами и оливковым маслом",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011102.jpg?itok=mLCMcs_4,/catalog/product/28244
Салаты и закуски,Еда,Салат с креветками и авокадо,1390,305 г.,"Салат из обжаренных креветок с домашней Моцареллой, свежими узбекскими томатами, авокадо, руколой с заправкой на основе миндаля с бальзамиком, соевым соусом, оливковым маслом и чесноком",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100009009.jpg?itok=Rv_WYRoe,/catalog/product/27248
Салаты и закуски,Еда,"Салат с Бурратой, печеным перцем и помидорами",1250,295 г.,"Салат из запеченного в дровяной печи болгарского перца, ароматных узбекских помидоров и домашней Бурраты",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100009007.jpg?itok=C6dVkAix,/catalog/product/26622
Салаты и закуски,Еда,Салат оливье со слабосоленым лососем,1290,280 г.,"Салат оливье из отварного картофеля, куриного яйца, отварной моркови и соленых огурцов с нежным слабосоленым лососем и молодым зеленым горошком",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011098.jpg?itok=slBlIaWn,/catalog/product/28207
Салаты и закуски,Еда,Салат из помидоров с красным луком,790,230 г.,Салат из сочных узбекских помидоров со сладким крымским луком и оливковым маслом,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000058.jpg?itok=10TQRH2U,/catalog/product/25198
Салаты и закуски,Еда,Паштет из куриной печени с апельсиновым конфитюром,890,310 г.,Нежный паштет из куриной печени с апельсиновым конфитюром и поджаренными тостами,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011017N.jpg?itok=_Oucusqu,/catalog/product/27246
Салаты и закуски,Еда,Икра из баклажанов с лепешкой,890,430 г.,"Лепешка из дровяной печи с икрой из запеченных баклажанов, свежих помидоров, красного лука и кинзы",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100006584.jpg?itok=oeMOz1U8,/catalog/product/23006
Салаты и закуски,Еда,Зеленый салат,990,285 г.,"Салат из спелого авокадо, шпината, сельдерея, руколы и мяты под медово-лимонной заправкой с миксом орехов и семян",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100009000.jpg?itok=Byjub32C,/catalog/product/27245
Салаты и закуски,Еда,Домашний салат из овощей со сметаной и яйцом,890,340 г.,"Салат со свежими огурцами, узбекскими томатами, редисом, отварным яйцом и фермерской сметаной",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000056.jpg?itok=wD3NTajL,/catalog/product/27244
Салаты и закуски,Еда,Салат столичный,690,205 г.,"Салат из копченой курицы, овощей и зеленого горошка с домашним майонезом и дижонской горчицей",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100012057.jpg?itok=FBFmlrkR,/catalog/product/31077
Сыры из сыроварни,Еда,Буррата,620,180 г.,Свежая Моцарелла в форме мешочка со Страчателлой и сливками внутри,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011234.jpg?itok=aFzKe5-l,/catalog/product/25205
Сыры из сыроварни,Еда,Моцарелла,580,180 г.,Полумягкий сыр Моцарелла,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011229.jpg?itok=rwn7EN1F,/catalog/product/25206
Сыры из сыроварни,Еда,Рикотта,420,200 г.,"Нежный сыр, приготовленный из домашней сыворотки",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011231.jpg?itok=JMTELHBu,/catalog/product/25467
Сыры из сыроварни,Еда,Скаморца,350,100 г.,Полутвердый сыр из коровьего молока,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000074N.jpg?itok=QCiW-j4E,/catalog/product/18876
Сыры из сыроварни,Еда,Скаморца копченый,380,100 г.,Полутвердый сыр из коровьего молока,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000075N.jpg?itok=kCJg3Ess,/catalog/product/25207
Сыры из сыроварни,Еда,Страчателла,680,200 г.,Волокна Моцареллы с добавлением нежных сливок,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011232.jpg?itok=Df4vmfQN,/catalog/product/25208
Сыры из сыроварни,Еда,Халлуми,550,200 г.,"Молодой рассольный сыр с высокой температурой плавления, специально для жарки - на мангале, сковороде или во фритюре",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011647.jpg?itok=uw8VCpz7,/catalog/product/20728
Фокачча и брускетта,Еда,Брускетта с тамбовским окороком,950,280 г.,"Брускетта на свежем хлебе с тамбовским окороком, салатом айсберг, пряной руколой, редисом и свежим огурцом",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011113.jpg?itok=AuwHZivP,/catalog/product/27251
Фокачча и брускетта,Еда,Брускетта со Страчателлой и слабосоленым лососем,1390,225 г.,"Брускетта на ароматном свежем хлебе с домашней Страчателлой, ломтиком слабосоленого лосося, руколой и пикантными каперсами",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011119.jpg?itok=95526N9U,/catalog/product/25210
Фокачча и брускетта,Еда,Фокачча с Бурратой и томатами,1370,470 г.,"Фокачча из дровяной печи с узбекскими помидорами, красным луком, свежим базиликом, оливковым маслом и сливочной Бурратой",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011118.jpg?itok=RNsLMG0L,/catalog/product/27252
Фокачча и брускетта,Еда,"Фокачча с Моцареллой, помидорами и руколой",990,390 г.,"Фокачча из дровяной печи с узбекскими помидорами, пряной руколой и домашней Моцареллой",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011116.jpg?itok=5VXT6e10,/catalog/product/25212
Фокачча и брускетта,Еда,Фокачча с Моцареллой и соусом песто,520,170 г.,Фокачча из дровяной печи с Моцареллой и соусом песто,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/7900000061.jpg?itok=mycY7tjH,/catalog/product/26602
Фокачча и брускетта,Еда,Фокачча с прованскими травами,520,170 г.,Фокачча из дровяной печи с прованскими травами,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/7900000062.jpg?itok=gUfhCkGO,/catalog/product/26603
Пицца,Еда,С трюфельной салями,1090,490 г.,"Пицца из дровяной печи со слайсами сыровяленой салями с трюфелем, томатным соусом, домашней Моцареллой и сыром Пармезан",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3200000323.jpg?itok=6LT84MWk,/catalog/product/31078
Пицца,Еда,Трюфельный соус к пицце,150,50 г.,"Сливки, сыр Моцарелла, сыр Пармезан, черный молотый перец, трюфельное месло",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/7700000435.jpg?itok=Nfb7eri7,/catalog/product/26608
Пицца,Еда,Бьянка с окороком и грибами,1150,510 г.,"Пицца из дровяной печи со сливочным соусом, домашней Моцареллой, Пармезаном, тамбовским окороком, зеленым луком и свежими шампиньонами",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3200000076.jpg?itok=rRhRWX0z,/catalog/product/27253
Пицца,Еда,Маргарита,990,510 г.,Пицца из дровяной печи с Моцареллой и томатами,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000040.jpg?itok=ggeHuKWY,/catalog/product/26605
Пицца,Еда,Четыре сыра,1390,520 г.,"Пицца из дровяной печи с домашней Моцареллой, Скаморцей, Пармезаном и сыром с голубой плесенью МонтеБлун",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000041.jpg?itok=uWbg2q8t,/catalog/product/27255
Пицца,Еда,Со Страчателлой и Мортаделлой,1390,590 г.,"Пицца из дровяной печи со слайсами ароматной Мортаделлы, домашней Страчателлой, руколой, оливковым маслом и фисташками. Сыр Страчателла подается отдельно",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011124.jpg?itok=FUfWnVDn,/catalog/product/24233
Пицца,Еда,С тамбовским окороком,1250,600 г.,"Пицца из дровяной печи со слайсами нежного тамбовского окорока, Моцареллой и пряной руколой",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000042.jpg?itok=OwnsEGcC,/catalog/product/25215
Пицца,Еда,С Горгонзолой и грушей,1250,550 г.,"Пицца из дровяной печи с грушей, домашней Моцареллой, Горгонзолой и кедровыми орехами",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000327.jpg?itok=FmIGP9G6,/catalog/product/23534
Пицца,Еда,Пепперони,1290,550 г.,"Пицца из дровяной печи со слайсами пикантной Пеперони, томатным соусом и домашней Моцареллой",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000044.jpg?itok=b0ybpZge,/catalog/product/27254
Паста,Еда,Ньокки с томленой уткой,980,300 г.,"Картофельные ньокки с томленой уткой, свежей зеленью и сыром Пармезан",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000036.jpg?itok=INejeRyz,/catalog/product/31079
Паста,Еда,Паппарделле c телячьими щечками,990,370 г.,"Домашняя паста с телячьими щечками, соусом рамеско и сыром Пармезан",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/7700000490.jpg?itok=B7rtrGDw,/catalog/product/28654
Паста,Еда,Равиоли с Рикоттой и шпинатом,970,185 г.,Равиоли с начинкой из Рикотты и шпината и соусом на основе чесночного масла и томатного сока,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3200000241N.jpg?itok=LnI5h4tM,/catalog/product/29460
Паста,Еда,Спагетти Карбонара,930,380 г.,"Домашняя паста с беконом, яйцом и сыром Пармезан",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011977.jpg?itok=vb4g34mV,/catalog/product/26609
Паста,Еда,Спагетти Болоньезе,990,335 г.,"Домашняя паста с соусом из рубленой говядины, специй и сыра Пармезан",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011133.jpg?itok=XZj1i2A_,/catalog/product/27259
Паста,Еда,Равиоли с креветками и соусом песто,1290,280 г.,"Равиоли с нежным фаршем из креветок, снежного краба и семги в сливочно-чесночном соусе с узбекскими помидорами, соусом песто, мини-базиликом и сыром Пармезан",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011130.jpg?itok=N1unQiTp,/catalog/product/27258
Паста,Еда,Паппарделле со шпинатом и креветками,1450,400 г.,Домашняя паста с тигровыми креветками и соусом из свежего шпината и домашней Страчателлы,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011137.jpg?itok=i1KsT6gl,/catalog/product/27257
Паста,Еда,Паппарделле со Страчателлой,1050,320 г.,Домашняя паста с легким соусом и сливочной Страчателлой,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011136.jpg?itok=lKVddBNU,/catalog/product/27256
Из творога и яиц,Еда,Вареники с творогом и сметаной,590,235 г.,Вареники ручной лепки из тонкого теста с творожно-ванильной начинкой с добавлением апельсиновой цедры и фермерской сметаной,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100006587.jpg?itok=DcZKKYNx,/catalog/product/25219
Из творога и яиц,Еда,Сырники из Рикотты со сметаной и вареньем,790,245 г.,"Воздушные сырники из домашней Рикотты, пшеничной муки и ванили с густой деревенской сметаной и ягодным вареньем из вишни, смородины и клубники",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011140.jpg?itok=0m1r98oC,/catalog/product/26610
Из творога и яиц,Еда,Запеканка с топленым молоком,780,225 г.,Домашняя запеканка из сыра Креметте с топленым молоком,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/7700000472NN.jpg?itok=OXteZcuA,/catalog/product/29461
Супы,Еда,Борщ,830,510 г.,"Классический борщ на говяжьем бульоне с бородинским хлебом, салом, зеленым луком и сметаной",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011145.jpg?itok=llzhn4Uk,/catalog/product/27260
Супы,Еда,Лапша куриная,650,400 г.,"Бульон с нежным куриным филе, домашней лапшой, морковью, луком и зеленью",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011143.jpg?itok=AaQpXqix,/catalog/product/30056
Супы,Еда,Суп гороховый с копченостями,750,420 г.,Ароматный гороховый суп с копченостями и хрустящими чесночными гренками,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100013023N.jpg?itok=QkZJF9V-,/catalog/product/31080
Супы,Еда,Сырный суп с беконом и брокколи,870,360 г.,Нежный сырный крем-суп с чипсами из бекона и брокколи,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/10100000003.jpg?itok=bny7zzNI,/catalog/product/31081
Гарниры,Еда,Брокколи с Пармезаном,670,180 г.,"Брокколи легкой обжарки с чесноком, сыром Пармезан, оливковым маслом и ароматным перцем",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100006590.jpg?itok=OV8mTKDA,/catalog/product/25222
Гарниры,Еда,Гречка с молодой капустой,440,290 г.,Рассыпчатая ароматная гречка с молодой капустой,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011149.jpg?itok=yTGlqEIl,/catalog/product/26978
Гарниры,Еда,"Картофель, жаренный с луком",520,300 г.,Обжаренные дольки картофеля с луком и ароматной зеленью,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000002.jpg?itok=Gt3d5qKS,/catalog/product/25224
Гарниры,Еда,Картофельное пюре,490,200 г.,Отварной картофель со сливками и сливочным маслом,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000001.jpg?itok=fNKVUs-H,/catalog/product/25225
Гарниры,Еда,Овощи гриль,720,250 г.,"Обжаренные на гриле баклажаны, кабачки и болгарский перец с оливковым маслом и ароматным розмарином",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011152.jpg?itok=bhMnoi0t,/catalog/product/26979
Горячие блюда,Еда,Телячьи щечки с картофельным пюре,1490,430 г.,"Телячьи щечки с пюре из отварного картофеля со сливками и сливочным маслом, розмарином и соусом порто",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011171N.jpg?itok=MrWG4Dqr,/catalog/product/28222
Горячие блюда,Еда,Тигровые креветки с чесноком и петрушкой,1450,130 г.,Обжаренные тигровые креветки с чесноком и петрушкой,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011156N.jpg?itok=HbrZE2bQ,/catalog/product/28224
Горячие блюда,Еда,Форель с кабачком на углях,1350,375 г.,"Форель на углях под яркой сальсой на основе спелых томатов, сладкого красного лука, лимонного сока, каперсов и тимьяна с душистым базиликом. Подается с гарниром из кабачка",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011177.jpg?itok=GUrIOQdA,/catalog/product/28226
Горячие блюда,Еда,Шашлык из свинины,1190,315 г.,"Маринованная свинина на гриле с болгарским перцем, маринованным красным луком, миксом зелени и зернами граната. Подается с домашней аджикой",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000356N.jpg?itok=6l3R7nJN,/catalog/product/27272
Горячие блюда,Еда,Шашлык из курицы,990,315 г.,"Маринованная курица на гриле с болгарским перцем, маринованным красным луком, миксом зелени и зернами граната. Подается с домашней аджикой",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000355N.jpg?itok=1BKH7b3_,/catalog/product/26620
Горячие блюда,Еда,Стейк Рибай,4170,300 г.,Сочный край мраморной говядины с ароматной домашней аджикой из узбекских томатов,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000289N.jpg?itok=av0d1hxI,/catalog/product/27270
Горячие блюда,Еда,Томленая грудинка с тартаром из баклажана,1590,185 г.,"Грудинка в соусе порто с тартаром из баклажанов, с добавлением зерен граната, кинзы и зеленого оливкового масла",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/7700000475.jpg?itok=8IFcUkSR,/catalog/product/28594
Горячие блюда,Еда,Шницель Кордон блю,890,315 г.,"Куриное филе в хрустящей панировке с ветчиной, Моцареллой, голубым сыром, гарниром из овощей и миксом зелени",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/8200000114.jpg?itok=8qfCnC3o,/catalog/product/28659
Горячие блюда,Еда,Котлета по-киевски,950,280 г.,"Котлета из нежного куриного филе в панировке с ароматным маслом и зеленью внутри, мятым картофелем, зеленым луком и петрушкой",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3200000279N.jpg?itok=dqfYdbJ3,/catalog/product/29464
Горячие блюда,Еда,Сырбургер,1370,400 г.,"Бургер на мягкой картофельной булочке с котлетой из фарша говядины и куриного бедра, сладкими томатами, салатом романо, солеными огурцами и нежным плавленым сыром",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/7700000520.jpg?itok=NQCtPkla,/catalog/product/29465
Горячие блюда,Еда,Гречневая каша с уткой и зеленым луком,980,430 г.,Рассыпчатая ароматная гречка с томленым утиным филе и свежим зеленым луком,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000016.jpg?itok=8vuZPZAR,/catalog/product/31082
Горячие блюда,Еда,Лосось терияки с салатом из огурца,1750,285 г.,"Нежное филе лосося под соусом терияки с гарниром из свежего огурца и соусом из йогурта, мяты и кинзы",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011167.jpg?itok=PGf_ji7M,/catalog/product/31083
Горячие блюда,Еда,Куриные оладьи с грибным соусом,850,270 г.,"Сочные оладьи из куриного бедра, муки и яйца с домашним сыром Скаморца, зеленью и чесноком в сливочно-грибном соусе",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011175.jpg?itok=ja8Vh56J,/catalog/product/26982
Горячие блюда,Еда,Баклажан Болоньезе,870,325 г.,"Запеченный в печи с сыром Пармезан и соусом болоньезе баклажан с добавлением чеснока, специй, оливкового масла и кинзы",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011169.jpg?itok=lSqHqASc,/catalog/product/28212
Горячие блюда,Еда,Бефстроганов,1390,380 г.,"Нежный бефстроганов с грибами, пюре из отварного картофеля со сливками и сливочным маслом, салатом из квашеной капусты, малосольных огурцов и маринованных томатов",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000009N.jpg?itok=oIza3ykS,/catalog/product/27263
Горячие блюда,Еда,Командорский кальмар,1290,320 г.,"Кальмар на гриле с гарниром из обожженных кабачков и спелых томатов, с таджасскими оливками, сырным муссом из Рикотты и базиликом",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000020N.jpg?itok=X4ibmvIh,/catalog/product/25228
Горячие блюда,Еда,Котлеты из индейки с картофельным пюре,930,280 г.,Домашние котлеты из нежного филе индейки с пюре из отварного картофеля со сливками и сливочным маслом,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011174.jpg?itok=rHv00YqX,/catalog/product/27264
