menu_section,product_type,dish_name,cost_rub,weight_g,description,image_url
Горячие блюда,Еда,Куриная печень с картофелем,870,450 г.,"Нежная куриная печень, обжаренная с картофелем, чесноком и ароматной зеленью",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011179.jpg?itok=8hujPf1n,/catalog/product/28214
Горячие блюда,Еда,Люля-кебаб из баранины,1350,295 г.,"Нежный люля-кебаб из баранины на гриле с болгарским перцем, маринованным красным луком, миксом зелени и зернами граната. Подается с домашней аджикой",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000360N.jpg?itok=ly_-G8tS,/catalog/product/27267
Горячие блюда,Еда,Люля-кебаб из курицы,990,295 г.,"Нежный люля-кебаб из курицы на гриле с курдюком, болгарским перцем, маринованным красным луком, миксом зелени и зернами граната. Подается с домашней аджикой",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000354N.jpg?itok=Rnkpdcqu,/catalog/product/26615
Горячие блюда,Еда,Медальоны филе-миньон,2340,200 г.,Нежная говяжья вырезка на гриле,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011176.jpg?itok=FbBQCPXo,/catalog/product/28216
Горячие блюда,Еда,Морские гребешки с чесноком и петрушкой,1590,120 г.,Обжаренные на сливочном масле морские гребешки с чесноком и свежей петрушкой,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011153.jpg?itok=zO3aLC6y,/catalog/product/28218
Горячие блюда,Еда,Рагу из кролика со сметаной и овощами,1550,350 г.,"Тушенное в сметанном соусе нежное филе кролика со свежими кабачками, запеченными с домашним сыром Скаморца и ароматной зеленью",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011154.jpg?itok=SAk4HpI7,/catalog/product/28220
Горячие блюда,Еда,Свиные ребра в соусе барбекю,1390,580 г.,"Свиные ребра в соусе барбекю с красной капустой, свежей кинзой, миндалем, кунжутом и пикантным чили",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000321N.jpg?itok=9PGTjIJT,/catalog/product/27269
Десерты,Еда,Чизкейк Сан-Себастьян,790,200 г.,"Сливочный чизкейк с ванилью из сыра Креметте, сметаны и пшеничной муки",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011531.jpg?itok=BiNSU6Np,/catalog/product/27242
Десерты,Еда,Пирог со свежей клубникой,790,180 г.,"Легкий песочный корж из пшеничной муки и миндальной пудры, с нежным кремом из сливочного сыра Креметте с ванилью, свежими ягодами клубники и фисташками",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011804.jpg?itok=pl54vhWK,/catalog/product/25043
Десерты,Еда,Торт Пряная хурма,890,220 г.,"Пряно-медовый бисквит с апельсиновой начинкой, сырным кремом, свежей хурмой и сливочным белым шоколадом",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/1800000122.jpg?itok=zB5bpUMS,/catalog/product/30617
Десерты,Еда,Крем из домашнего сыра с пралине,830,210 г.,"Крем из домашнего сыра Креметте с пралине из вафельной крошки, шоколада и свежей мятой",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011193.jpg?itok=idtSIzep,/catalog/product/24190
Десерты,Еда,Банановый брауни,890,220 г.,"Нежный бисквит с черным шоколадом, бананом и воздушным кремом из сыра Креметте",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011190.jpg?itok=IRvBuN6y,/catalog/product/25238
Десерты,Еда,Ватрушка с творогом,390,150 г.,Ватрушка из слоеного теста с творогом,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000508.jpg?itok=StVYgIEE,/catalog/product/19583
Десерты,Еда,Ватрушка с творогом и брусникой,390,180 г.,Ватрушка из слоеного теста с творогом и брусникой,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000607.jpg?itok=_N3zMBkI,/catalog/product/19584
Десерты,Еда,Ватрушка с творогом и грушей,390,180 г.,Ватрушка из слоеного теста с творогом с грушей,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000610.jpg?itok=27edr8Tc,/catalog/product/19585
Десерты,Еда,Медовик с соленой карамелью и фундуком,790,165 г.,"Мягкие медовые коржи из пшеничной муки с нежным сметанным кремом, бисквитной крошкой, насыщенной соленой карамелью и фундуком",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011188.jpg?itok=P_zx-C5W,/catalog/product/25239
Десерты,Еда,Наполеон,750,220 г.,Воздушные слоеные коржи со сливочным кремом,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011189.jpg?itok=ay-VwZO6,/catalog/product/24301
Десерты,Еда,Пирог со свежей голубикой,1190,180 г.,"Легкий песочный корж из пшеничной муки и миндальной пудры с нежным кремом из сливочного сыра Креметте, ванилью и свежими ягодами голубики",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011191.jpg?itok=QhTFmiYh,/catalog/product/23547
Десерты,Еда,Пирог со свежей малиной,1190,180 г.,"Легкий песочный корж из пшеничной муки и миндальной пудры с нежным кремом из сливочного сыра Креметте, ванилью, свежими ягодами малины и фисташками",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011181.jpg?itok=c87gf-KD,/catalog/product/28805
Десерты,Еда,Птичье молоко,750,140 г.,Нежное суфле на бисквите из пшеничной муки в шоколаде,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011187.jpg?itok=BrRW51lf,/catalog/product/25240
Десерты,Еда,Торт киевский,870,215 г.,"Торт безе с орехами кешью и фундуком в прослойках заварного сливочного и шоколадного кремов, покрытый соусом бейлиз",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011192.jpg?itok=EPcJ2Ngu,/catalog/product/25241
Лавка,Еда,Неро Верде,490,180 г.,Полутвердый сливочный сыр с добавлением базилика и прованских трав,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/7700000330.jpg?itok=QZ9KSZAy,/catalog/product/18912
Лавка,Еда,Узбекские томаты,600,250 г.,Спелые розовые томаты,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/7700000215.jpg?itok=Vi41mtA5,/catalog/product/28081
Лавка,Еда,Камамбер,650,200 г.,Мягкий сыр с белой плесенью,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100012898.jpg?itok=ql4SfhZ7,/catalog/product/18439
Лавка,Еда,"Кофе (Колумбия, Бразилия)",900,250 г.,"Кофе со вкусом сиропа, миндаля и изюма",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100012897.jpg?itok=wKAYTH69,/catalog/product/24760
Лавка,Еда,Неро с пажитником,490,180 г.,Полутвердый сливочно-ореховый сыр с пажитником,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400004556.jpg?itok=kKAaza8S,/catalog/product/18913
Лавка,Еда,Раклет,590,180 г.,Полутвердый пикантно-сливочный сыр,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400004555.jpg?itok=5wqb80hg,/catalog/product/18914
Лавка,Еда,Блю Крема,490,90 г.,Мягкий сыр с культурами голубой плесени,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/7700000220.jpg?itok=59R5pl2R,/catalog/product/21107
Лавка,Еда,Блок фуа-гра,1500,100 г.,"Печень утиная фуа-гра 100%, соль, белый перец",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/1800000055.jpg?itok=uJc-RenZ,/catalog/product/24670
Лавка,Еда,Паштет из печени гуся с черным трюфелем,830,150 г.,"Печень гуся, мясо гуся ручной обвалки, масло сливочное, трюфель, соль, лук сушеный, регулятор кислотности (трифосфат калия), перец черный, перец красный",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3200000174.jpg?itok=E-KjQJbU,/catalog/product/24671
Лавка,Еда,Паштет из печени индейки с вяленым томатом,750,150 г.,"Печень индейки, мясо индейки ручной обвалки, томат вяленый, масло сливочное, м.д.ж. 72.5%, вода питьевая, соль, перец черный, регулятор кислотности (трифосфат калия)",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3200000173.jpg?itok=OQAqsxlg,/catalog/product/24672
Лавка,Еда,Паштет из утиной печени с яблоками,750,150 г.,"Печень утиная, мясо утки ручной обвалки, масло сливочное м.д.ж 72.5%, лук, яблоки, соль пищевая, регулятор кислотности - трифосфат калия, перец черный, перец красный",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/4000000061.jpg?itok=qYPIf5RN,/catalog/product/24673
Лавка,Еда,Риет утиный с кусочками фуа-гра,1200,180 г.,"Окорок утиный ручной обвалки, печень утиная с фуа-гра 30%, жир утиный, соль, перец",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3200000172.jpg?itok=E340mazL,/catalog/product/24674
Лавка,Еда,"Кофе (Колумбия, Бразилия, Перу)",900,250 г.,"Кофе со вкусом фруктов, фундука и шоколада",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100012897.jpg?itok=wKAYTH69,/catalog/product/30286
Лавка,Еда,Набор кофе в дрип-пакетах,900,66 г.,100% арабика (6 шт.),https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400004008.jpg?itok=yvYimUKN,/catalog/product/24761
Лавка,Еда,Хлеб белый,350,700 г.,"Пшеничная мука высшего сорта с большим содержанием белка, живые дрожжи, соль, сахар, растительное масло",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100006986N.jpg?itok=KiHSsvvY,/catalog/product/17319
Лавка,Еда,Хлеб серый,350,650 г.,"Ржаная мука хлебопекарная обдирная, пшеничная мука высшего сорта, живые дрожжи, сахар, растительное масло",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100006987N.jpg?itok=mF13NXW3,/catalog/product/17320
Лавка,Еда,Белпер Кнолле с паприкой,390,80 г.,Швейцарский сыр в форме маленьких шариков в обсыпке из красной сладкой паприки,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/7700000216.jpg?itok=A2ksWGTU,/catalog/product/17267
Лавка,Еда,Белпер Кнолле с прованскими травы,390,80 г.,Швейцарский сыр в форме маленьких шариков в обсыпке из прованских трав,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/7700000217.jpg?itok=uSu_CeFw,/catalog/product/17268
Лавка,Еда,Белпер Кнолле с черным перцем,390,80 г.,Швейцарский сыр в форме маленьких шариков в обсыпке из черного перца,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/7700000218.jpg?itok=6tOO9bb5,/catalog/product/17269
Напитки,Напиток,Фреш морковный,850,500 мл.,Свежевыжатый морковный сок,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000304N.jpg?itok=9899qxkO,/catalog/product/23225
Напитки,Напиток,Фреш сельдереевый,850,500 мл.,Свежевыжатый сельдереевый сок,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000307N.jpg?itok=wOdS_UYd,/catalog/product/23226
Напитки,Напиток,Фреш яблочный,850,500 мл.,Свежевыжатый яблочный сок,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000303N.jpg?itok=OsPI1Z_C,/catalog/product/23227
Напитки,Напиток,Evervess Cola,320,250 мл.,Безалкогольный газированный напиток,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011711.jpg?itok=TJTex5FE,/catalog/product/24969
Напитки,Напиток,Сок IL Primo яблоко,320,200 мл.,Яблочный сок,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400003559N.jpg?itok=bcXMtWSP,/catalog/product/23224
Напитки,Напиток,Сок IL Primo томат,320,200 мл.,Томатный сок,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400003556N.jpg?itok=6w_iZUvb,/catalog/product/23223
Напитки,Напиток,Сок IL Primo апельсин,320,200 мл.,Апельсиновый сок,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400003558N.jpg?itok=xHCjjLEn,/catalog/product/23221
Напитки,Напиток,Сок IL Primo вишня,320,200 мл.,Вишневый сок,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400003557N.jpg?itok=Cs2vPFrl,/catalog/product/23222
Напитки,Напиток,Фреш грейпфрутовый,920,500 мл.,Свежевыжатый грейпфрутовый сок,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000306N.jpg?itok=f0DWsh9S,/catalog/product/23188
Напитки,Напиток,Вода Легенда Байкала без газа,420,330 мл.,Вода без газа,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3000000030N.jpg?itok=H03wn88d,/catalog/product/24833
Напитки,Напиток,Вода Легенда Байкала без газа,580,750 мл.,Вода без газа,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3200000071N.jpg?itok=fKNResrg,/catalog/product/24834
Напитки,Напиток,Вода Легенда Байкала газированная,580,750 мл.,Вода газированная,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3200000072N.jpg?itok=AHFtPnbG,/catalog/product/24835
Напитки,Напиток,Вода Легенда Байкала газированная,420,330 мл.,Вода газированная,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3000000031N.jpg?itok=ZuKH4THI,/catalog/product/24836
Напитки,Напиток,Вода Tassay без газа,450,250 г.,Вода без газа,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/8200000110.jpg?itok=5IMVPY5S,/catalog/product/28666
Напитки,Напиток,Вода Tassay без газа,730,750 г.,Вода без газа,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/8200000111.jpg?itok=G0-jIVRA,/catalog/product/28667
Напитки,Напиток,Вода Tassay газированная,450,250 г.,Вода газированная,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/8200000112.jpg?itok=tTAxKBPJ,/catalog/product/28668
Напитки,Напиток,Вода Tassay газированная,730,750 г.,Вода газированная,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/8200000113.jpg?itok=DTRT1MOl,/catalog/product/28669
Напитки,Напиток,Evervess Cola Zero,320,250 мл.,Безалкогольный газированный напиток,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3200000308.jpg?itok=PxsljmyL,/catalog/product/30221
Напитки,Напиток,Лимонад Малина-маракуйя,895,500 мл.,Домашний лимонад из малины и маракуйи,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000569N.jpg?itok=-69vuFiB,/catalog/product/23217
Напитки,Напиток,Лимонад Малина-маракуйя,1790,1000 мл.,Домашний лимонад из малины и маракуйи,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000569N.jpg?itok=-69vuFiB,/catalog/product/23218
Напитки,Напиток,Лимонад Мохитино,825,500 мл.,Домашний лимонад с лаймом и мятой,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100009027N.jpg?itok=stqshgP6,/catalog/product/21162
Напитки,Напиток,Лимонад Мохитино,1650,1000 мл.,Домашний лимонад с лаймом и мятой,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100009027N.jpg?itok=stqshgP6,/catalog/product/18608
Напитки,Напиток,Лимонад Тархун-лемонграсс,825,500 мл.,Домашний лимонад из эстрагона и лемонграсса,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400001528N.jpg?itok=0Hgp4V0E,/catalog/product/18551
Напитки,Напиток,Лимонад Тархун-лемонграсс,1650,1000 мл.,Домашний лимонад из эстрагона и лемонграсса,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400001528N.jpg?itok=0Hgp4V0E,/catalog/product/18553
Напитки,Напиток,Морс из клюквы,490,500 мл.,Домашний морс из клюквы,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000537N.jpg?itok=S2gv8Nq2,/catalog/product/23203
Напитки,Напиток,Морс из клюквы,850,1000 мл.,Домашний морс из клюквы,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000309N.jpg?itok=wnMmzw8m,/catalog/product/23219
Напитки,Напиток,Морс из черной смородины,490,500 мл.,Домашний морс из черной смородины,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000539N.jpg?itok=Y7mwr7wL,/catalog/product/23204
Напитки,Напиток,Морс из черной смородины,850,1000 мл.,Домашний морс из черной смородины,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000308N.jpg?itok=LuwT19LA,/catalog/product/23220
Напитки,Напиток,Фреш ананасовый,1650,500 мл.,Свежевыжатый ананасовый сок,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000305N.jpg?itok=SY0i90cC,/catalog/product/23185
Напитки,Напиток,Фреш апельсиновый,920,500 мл.,Свежевыжатый апельсиновый сок,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000301N.jpg?itok=-e18iH1g,/catalog/product/23186
Соусы,Еда,Аджика,110,50 г.,"Томаты, перец болгарский, лук красный, чеснок, кинза, чили, уксус винный, соус шрирача",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000313.jpg?itok=lmLq5llv,/catalog/product/13083
Соусы,Еда,Кетчуп,100,50 г.,"Паста томатная, сахар, соль, уксус, специи",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000316.jpg?itok=SW_uSQ8B,/catalog/product/14103
Соусы,Еда,Майонез,100,50 г.,Домашний майонез,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000315.jpg?itok=nomtlQYv,/catalog/product/14104
Соусы,Еда,Масло трюфельное,100,5 г.,Нерафинированное оливковое масло с ароматом трюфеля,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000312.jpg?itok=2HRkVihK,/catalog/product/13086
Соусы,Еда,Сметана,150,50 г.,Фермерская сметана,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000314.jpg?itok=zJiPGh1q,/catalog/product/15036
Соусы,Еда,Соус грибной,160,50 г.,"Шампиньоны, сливки, лук, тимьян",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000310.jpg?itok=Ddmd6Egf,/catalog/product/27414
Соусы,Еда,Соус песто,300,50 г.,"Соус на основе базилика, сыра пармезан и оливкового масла",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100002069.jpg?itok=8RWm3-yZ,/catalog/product/25614
Соусы,Еда,Соус порто,300,50 г.,Соус с красным вином,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000466.jpg?itok=Vu3u4Azg,/catalog/product/27415
Соусы,Еда,Соус-крем бальзамический темный,160,30 г.,"Сок виноградный, бальзамический уксус, уксус винный",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400000317.jpg?itok=dOO7NAlP,/catalog/product/16917
Детское меню,Еда,Спагетти в сырном соусе с фрикадельками,630,220 г.,Домашняя паста с фрикадельками из индейки и сливочно-сырным соусом,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100012982.jpg?itok=KrwbZeIG,/catalog/product/25252
Детское меню,Еда,Мини-пицца с индейкой,530,260 г.,"Мини-пицца из дровяной печи со слайсами ветчины из индейки, Моцареллой и соусом из сливок",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100012986.jpg?itok=DwoQs2Nn,/catalog/product/25245
Детское меню,Еда,Мини-пицца Пепперони,620,260 г.,"Мини-пицца из дровяной печи с пикантной пепперони, Моцареллой, томатным соусом и орегано",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100012985.jpg?itok=NGjnE2WJ,/catalog/product/25244
Детское меню,Еда,Куриный шашлычок с сыром и салатом,650,230 г.,"Куриный шашлычок под хрустящей сырной корочкой с салатом из узбекских томатов, огурцов, моркови и редиса",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100012983.jpg?itok=J1qzAV7e,/catalog/product/25243
Детское меню,Еда,Котлета из индейки с картофельным пюре и помидорами черри,550,210 г.,"Котлета из индейки с пюре из отварного картофеля со сливками и сливочным маслом, помидорами черри и оливковым маслом",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100012984.jpg?itok=cIR6aXYD,/catalog/product/24304
Детское меню,Еда,Борщ с курицей и сметаной,420,300 г.,"Классический борщ на говяжьем бульоне с овощами, куриной грудкой и сметаной",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100012980.jpg?itok=FfzH-1-B,/catalog/product/24303
Детское меню,Еда,Спагетти Карбонара,550,200 г.,Домашняя паста с беконом и сыром Пармезан,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011076.jpg?itok=eqiyZnuL,/catalog/product/24316
Детское меню,Еда,Спагетти Болоньезе,570,220 г.,"Домашняя паста с соусом из рубленой говядины, специй и сыра Пармезан",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011075.jpg?itok=iMidvjlr,/catalog/product/25251
Детское меню,Еда,Салат овощной со сметаной,480,280 г.,"Салат со свежими огурцами, узбекскими томатами, отварным яйцом и фермерской сметаной",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011088.jpg?itok=gkC7JYHr,/catalog/product/25250
Детское меню,Еда,Салат овощной с маслом,480,260 г.,"Салат со свежими огурцами, узбекскими томатами, отварным яйцом и оливковым маслом",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011087N.jpg?itok=i3meEBzY,/catalog/product/25249
Детское меню,Еда,Блины со сметаной,390,185 г.,Домашние блины со сметаной,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011078.jpg?itok=6USQuI7Q,/catalog/product/25242
Детское меню,Еда,Пельмени с телятиной и деревенской сметаной,630,200 г.,"Домашние пельмени с телятиной, сливочным маслом и деревенской сметаной",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011079.jpg?itok=OFSieSxx,/catalog/product/24312
Детское меню,Еда,Оливье с Мортаделлой,490,130 г.,"Клаcсический салат оливье из отварного картофеля, яйца, горошка, огурцов, моркови и соленых огурцов с ветчиной Мортаделла",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011082.jpg?itok=HbidTq-e,/catalog/product/25248
Детское меню,Еда,Мини-пицца четыре сыра,620,265 г.,"Мини-пицца из дровяной печи с сыром Моцарелла, Скаморца, Пармезан и сыром с голубой плесенью",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011086.jpg?itok=VawRlxEn,/catalog/product/25247
Детское меню,Еда,Мини-пицца с тамбовским окороком,620,300 г.,Мини-пицца из дровяной печи со слайсами нежного тамбовского окорока и пряной руколой,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011085.jpg?itok=6bPDkih1,/catalog/product/25246
Детское меню,Еда,Мини-пицца Маргарита,490,255 г.,Мини-пицца из дровяной печи с Моцареллой и томатным соусом,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011083.jpg?itok=OnDX3xSG,/catalog/product/24307
Детское меню,Еда,Куриная вермишель с перепелиным яйцом,370,320 г.,"Бульон с нежным куриным филе, домашней вермишелью и перепелиным яйцом",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011089.jpg?itok=OMexNAZ1,/catalog/product/24305
